Overall Rank,City,Region,Happiness Score,Emotional & Physical Well-Being Rank,Income & Employment Rank,Community & Environment Rank,Latitude,Longitude,Elevation,max_temp_mean,min_temp_mean,daylight_duration_mean,sunshine_duration_mean,uv_index_max_mean,precipitation_sum_mean,rain_sum_mean,showers_sum_mean,snowfall_sum_mean,precipitation_hours_mean,wind_speed_10m_max_mean,wind_gusts_10m_max_mean,shortwave_radiation_sum_mean
1,"Fremont, CA",West,74.16,1,85,3,37.55,-121.98,18.00,69.66520548,50.5939726,12.19318456,8.229079011,5.720547945,0.038832877,0.038832877,0,0,0.624657534,11.47452055,18.14136986,17.95112329
2,"Overland Park, KS",Midwest,69.78,6,36,6,38.98,-94.66,333.00,69.02356164,48.9290411,12.19899005,8.042054368,5.339315068,0.080616438,0.080616438,0,0,0.934246575,12.5490411,24.01616438,16.69427397
3,"San Jose, CA",West,69.54,2,33,37,37.35,-121.88,33.00,71.23726027,50.2339726,12.19239655,8.608135974,5.73739726,0.040254795,0.040254795,0,0,0.583561644,11.16465753,16.94493151,18.45769863
4,"Madison, WI",Midwest,68.99,7,17,9,43.06,-89.40,272.00,60.2090411,42.52712329,12.2180182,7.386339482,4.536986301,0.08,0.08,0,0,1.22739726,12.08958904,23.79123288,15.67852055
5,"Irvine, CA",West,68.22,4,26,24,33.67,-117.83,18.00,72.84547945,55.62767123,12.17916406,7.673047192,6.161780822,0.036123288,0.036123288,0,0,0.476712329,9.522465753,13.8509589,17.29545205
6,"Honolulu, HI",West,68.03,19,40,1,21.38,-158.00,4.00,84.15369863,73.5769863,12.14691051,10.56699368,7.695753425,0.012558904,0.000909589,0.011076712,0,0.8,11.92849315,25.51068493,20.53473973
7,"San Francisco, CA",West,67.01,3,81,30,37.76,-122.41,18.00,65.44520548,49.69671233,12.19403295,8.262793623,5.672739726,0.062652055,0.062652055,0,0,0.775342466,12.91726027,21.28794521,17.41191781
8,"Pearl City, HI",West,66.9,15,151,2,21.38,-158.00,24.00,83.91589041,73.33534247,12.14691051,10.56699368,7.580821918,0.012558904,0.000909589,0.011076712,0,0.8,11.92849315,25.51068493,20.53473973
9,"Columbia, MD",Northeast,65.77,5,170,60,39.25,-76.85,123.00,67.23726027,48.77287671,12.20013763,7.647249893,5.060273973,0.082742466,0.082742466,0,0,0.969863014,10.77726027,21.54575342,16.128
10,"Scottsdale, AZ",Southwest,65.26,27,72,4,33.51,-111.91,385.00,87.41013699,62.25726027,12.17865641,10.00037329,6.568356164,0.016569863,0.016569863,0,0,0.18630137,9.604383562,18.56410959,21.58926027
11,"Sioux Falls, SD",Midwest,65.06,10,57,47,43.56,-96.69,452.00,59.95013699,39.77808219,12.22063101,8.234117192,5.049315068,0.035364384,0.035364384,0,0,0.701369863,14.49205479,25.58,16.43024658
12,"Huntington Beach, CA",West,64.28,13,77,53,33.66,-117.99,14.00,67.96630137,54.78136986,12.17915313,7.503166012,5.920684932,0.029657534,0.029657534,0,0,0.482191781,11.41753425,16.24164384,16.81926027
13,"Minneapolis, MN",Midwest,63.98,17,22,57,44.97,-93.26,261.00,58.93287671,41.79041096,12.22839799,7.519284254,4.499315068,0.054769863,0.054769863,0,0,1.279452055,11.0030137,22.95369863,15.07652055
14,"Garden Grove, CA",West,63.91,24,52,15,33.78,-117.96,28.00,73.85972603,55.9490411,12.17954124,7.689173927,6.143287671,0.039172603,0.039172603,0,0,0.484931507,9.588493151,14.15232877,17.23942466
15,"San Diego, CA",West,63.75,20,43,19,32.72,-117.15,12.00,70.39835616,56.65369863,12.17608207,7.009789368,6.195205479,0.036506849,0.036506849,0,0,0.37260274,9.53890411,13.17726027,16.09632877
16,"Fargo, ND",Midwest,63.68,11,20,134,46.88,-96.80,277.00,54.97452055,35.97479452,12.23997754,7.828506712,4.676849315,0.037213699,0.037213699,0,0,0.860273973,14.31452055,25.83287671,15.16947945
17,"Portland, ME",Northeast,63.46,43,3,27,43.65,-70.27,27.00,57.15534247,42.36136986,12.22111202,7.018371256,4.300273973,0.121679452,0.121679452,0,0,1.780821918,12.65315068,23.86520548,14.51246575
18,"Seattle, WA",West,63.39,8,14,128,47.60,-122.32,59.00,60.7090411,46.00547945,12.24464805,6.270357907,4.031917808,0.056649315,0.056649315,0,0,1.698630137,8.865205479,17.66547945,13.17690411
19,"Lincoln, NE",Midwest,63.35,21,27,43,40.79,-96.65,371.00,67.11260274,45.21041096,12.20694972,8.428877344,5.211917808,0.044613699,0.044613699,0,0,0.734246575,13.74794521,25.3169863,17.16049315
20,"Bismarck, ND",Midwest,63.23,12,11,149,46.82,-100.78,519.00,55.15342466,34.73561644,12.2395624,8.283301613,4.763150685,0.032136986,0.032136986,0,0,0.747945205,13.83068493,24.17808219,15.86821918
21,"Gilbert, AZ",Southwest,62.99,40,44,7,33.34,-111.78,377.00,87.86246575,61.30986301,12.17808746,10.05846207,6.604931507,0.011824658,0.011824658,0,0,0.18630137,9.556164384,17.94164384,21.67912329
22,"Charleston, SC",Southeast,62.53,45,15,18,32.80,-79.90,12.00,75.79506849,60.24849315,12.17633457,8.437519444,6.023287671,0.185542466,0.185542466,0,0,1.035616438,12.13452055,22.26383562,18.01479452
23,"South Burlington, VT",Northeast,62.42,16,30,139,44.47,-73.16,97.00,57.40931507,41.35561644,12.22559374,6.855535951,4.281232877,0.104268493,0.104268493,0,0,1.742465753,10.80465753,22.23123288,14.43252055
24,"Glendale, CA",West,62.31,32,92,13,34.14,-118.26,169.00,74.82986301,54.99506849,12.1807418,8.226331956,6.072328767,0.065084932,0.065084932,0,0,0.706849315,9.36109589,13.27589041,18.15117808
25,"Anaheim, CA",West,62.28,26,55,36,33.85,-117.91,49.00,75.94054795,56.15041096,12.17975574,7.823912245,6.143287671,0.040808219,0.040808219,0,0,0.509589041,9.568493151,14.23534247,17.62854795
26,"Oakland, CA",West,62.24,14,104,77,37.79,-122.28,19.00,66.22246575,49.21205479,12.1941475,7.630355921,5.721780822,0.053065753,0.053065753,0,0,0.747945205,9.719178082,15.96767123,16.63783562
27,"Chula Vista, CA",West,61.75,25,87,28,32.65,-117.10,24.00,69.23123288,55.79232877,12.17584967,7.017647291,6.327123288,0.031720548,0.031720548,0,0,0.336986301,10.84191781,13.9090411,16.11652055
28,"Raleigh, NC",Southeast,61.73,9,126,99,35.77,-78.64,100.00,72.94465753,52.86739726,12.18647594,8.249415457,5.574109589,0.117690411,0.117690411,0,0,1.008219178,9.252328767,19.6369863,17.53353425
29,"Santa Rosa, CA",West,61.48,28,34,50,38.45,-122.73,54.00,70.87945205,46.25643836,12.19680726,8.18784433,5.591917808,0.059673973,0.059673973,0,0,0.928767123,9.736986301,15.9090411,17.67657534
30,"Santa Clarita, CA",West,61.4,23,122,49,34.39,-118.53,369.00,77.00136986,52.88986301,12.18159939,9.014655046,6.065342466,0.065613699,0.065613699,0,0,0.789041096,13.04712329,20.28164384,19.81726027
31,"Boise, ID",West,61.35,34,5,76,43.62,-116.19,835.00,65.63315068,44.47808219,12.22093473,8.241562024,5.018219178,0.027375342,0.027375342,0,0,0.709589041,12.28767123,19.06794521,17.18131507
32,"Oxnard, CA",West,61.31,36,94,16,34.21,-119.18,18.00,69.02986301,52.92109589,12.18097816,7.748924939,5.935890411,0.050961644,0.050961644,0,0,0.569863014,11.20191781,17.49643836,17.34172603
33,"Chandler, AZ",Southwest,60.9,50,84,17,33.31,-111.84,370.00,87.8460274,61.44082192,12.17797343,10.05522862,6.604931507,0.018939726,0.018939726,0,0,0.191780822,9.509315068,17.90520548,21.70082192
34,"Oceanside, CA",West,60.5,31,102,41,33.20,-117.37,23.00,68.04712329,54.45534247,12.17763189,7.19975382,6.203972603,0.041843836,0.041843836,0,0,0.394520548,10.35643836,14.73726027,16.41731507
35,"Plano, TX",Southwest,60.47,35,93,39,33.03,-96.71,207.00,80.2890411,59.95123288,12.17706298,8.34137433,5.966438356,0.068660274,0.068660274,0,0,0.77260274,12.27424658,23.6539726,18.17446575
36,"Rapid City, SD",Midwest,60.19,58,19,54,44.08,-103.23,991.00,62.89123288,39.53205479,12.2234216,8.970602633,5.034520548,0.057189041,0.057189041,0,0,0.871232877,13.8539726,23.62493151,17.43194521
37,"Aurora, IL",Midwest,60.04,29,149,33,41.77,-88.32,208.00,61.93452055,44.5309589,12.2115724,6.897311834,4.618493151,0.078663014,0.078663014,0,0,1.323287671,11.95671233,23.86438356,15.19534247
38,"Anchorage, AK",West,59.89,62,78,14,61.25,-149.88,34.00,43.37561644,32.19726027,12.41253953,5.88918156,2.633972603,0.074865753,0.037424658,0.013249315,0.140443836,4.397260274,7.201369863,14.28794521,8.711808219
39,"Yonkers, NY",Northeast,59.88,22,147,87,40.95,-73.91,26.00,64.72986301,48.72410959,12.20767911,7.365328227,4.718630137,0.126243836,0.126243836,0,0,1.449315068,11.5139726,22.55123288,15.3399726
40,"Chesapeake, VA",Southeast,59.77,61,103,12,36.81,-76.27,6.00,71.7339726,54.08739726,12.19034207,8.258495852,5.412739726,0.076252055,0.076252055,0,0,0.876712329,10.93178082,22.28273973,17.18273973
41,"Omaha, NE",Midwest,59.71,42,60,66,41.26,-95.93,335.00,65.69534247,44.38356164,12.20917153,8.166509574,5.090684932,0.052863014,0.052863014,0,0,0.687671233,12.47753425,23.44356164,16.67726027
42,"Virginia Beach, VA",Southeast,59.62,44,106,44,36.88,-76.01,4.00,69.51178082,54.75780822,12.19057662,8.215889011,5.41630137,0.084780822,0.084780822,0,0,0.865753425,13.94219178,24.25424658,17.20956164
43,"Santa Ana, CA",West,59.45,53,13,89,33.74,-117.88,37.00,73.84438356,56.12082192,12.17940577,7.783402002,6.143287671,0.042673973,0.042673973,0,0,0.504109589,9.544657534,13.80657534,17.37676712
44,"St. Paul, MN",Midwest,59.4,37,110,59,44.94,-93.08,240.00,58.86657534,41.4369863,12.22820869,7.490826005,4.491780822,0.060660274,0.060660274,0,0,1.252054795,10.48219178,22.40027397,15.08854795
45,"Cedar Rapids, IA",Midwest,59.36,60,82,34,42.00,-91.63,248.00,63.50684932,43.6339726,12.21268484,7.816886172,4.832328767,0.036975342,0.036975342,0,0,0.852054795,13.71369863,24.70164384,16.34934247
46,"Tempe, AZ",Southwest,59.34,64,32,32,33.40,-111.92,361.00,87.97808219,62.60438356,12.17829357,9.994013417,6.58369863,0.016487671,0.016487671,0,0,0.178082192,8.951780822,17.52356164,21.54493151
47,"Peoria, AZ",Southwest,58.86,65,128,8,33.58,-112.25,348.00,87.47863014,61.76520548,12.17886684,9.98231688,6.551780822,0.014273973,0.014273973,0,0,0.164383562,9.570136986,18.51068493,21.52487671
48,"Pembroke Pines, FL",Southeast,58.79,48,160,26,25.99,-80.21,4.00,85.35753425,71.73424658,12.15728269,8.764313364,7.065890411,0.229789041,0.229789041,0,0,0.975342466,11.50712329,19.01479452,18.47421918
49,"Juneau, AK",West,58.73,45,56,112,58.13,-134.25,11.00,50.93013699,43.3309589,12.35145935,4.497667778,2.464794521,0.371709589,0.296745205,0.044660274,0.050967123,10.75342466,8.202465753,15.69616438,7.363260274
50,"Washington, DC",Northeast,58.69,18,117,144,38.89,-77.03,12.00,69.35315068,51.02712329,12.19863216,7.62473911,5.081780822,0.08229589,0.08229589,0,0,0.934246575,9.31369863,20.05479452,16.05832877
51,"Cape Coral, FL",Southeast,58.54,70,101,11,26.57,-81.95,3.00,85.1430137,68.8709589,12.15870667,9.504250616,7.168082192,0.078183562,0.078183562,0,0,0.504109589,11.56712329,19.25041096,19.74353425
52,"Fort Lauderdale, FL",Southeast,58.51,59,74,68,26.11,-80.16,4.00,85.08,71.38630137,12.15758804,8.774669292,7.033972603,0.256361644,0.256361644,0,0,0.936986301,11.66054795,19.3230137,18.38783562
53,"Rancho Cucamonga, CA",West,58.47,67,67,35,34.10,-117.58,370.00,76.41013699,54.06054795,12.18060969,8.474134072,6.149589041,0.057528767,0.057528767,0,0,0.750684932,11.04739726,16.57890411,18.79865753
54,"Burlington, VT",Northeast,58.35,54,4,165,44.48,-73.20,66.00,57.55150685,42.00821918,12.22563279,6.883189033,4.302465753,0.119575342,0.119575342,0,0,1.756164384,11.17150685,22.56246575,14.4769863
55,"Jersey City, NJ",Northeast,58.01,33,167,64,40.72,-74.06,11.00,65.56109589,49.82684932,12.20666119,7.283152953,4.794246575,0.119172603,0.119172603,0,0,1.408219178,12.3,22.55479452,15.30827397
56,"Charlotte, NC",Southeast,57.9,30,134,102,35.22,-80.83,254.00,72.64767123,53.09726027,12.18447575,8.027314901,5.478219178,0.082739726,0.082739726,0,0,0.98630137,8.61260274,19.16027397,17.12616438
57,"Durham, NC",Southeast,57.88,41,69,109,35.98,-78.89,124.00,71.98657534,51.67068493,12.18723282,8.245344292,5.508082192,0.104934247,0.104934247,0,0,1.024657534,8.907671233,19.10438356,17.51610959
58,"Boston, MA",Northeast,57.71,39,7,161,42.37,-71.06,19.00,61.86849315,45.30520548,12.21449485,7.05766016,4.533424658,0.137627397,0.137627397,0,0,1.531506849,12.12547945,23.39726027,14.64443836
59,"Nampa, ID",West,57.62,72,16,86,43.54,-116.55,768.00,65.94794521,42.57232877,12.22050498,8.496903782,5.010273973,0.018876712,0.018876712,0,0,0.602739726,12,20.82657534,17.59630137
60,"Aurora, CO",West,57.6,38,150,78,39.73,-104.84,"1,648.00",66.02493151,40.40465753,12.20221431,8.178213919,5.868356164,0.043331507,0.043331507,0,0,0.846575342,11.92027397,21.52109589,18.30926027
61,"Long Beach, CA",West,57.59,51,109,92,33.77,-118.19,14.00,72.98383562,55.73726027,12.17948962,7.591104391,6.139041096,0.033463014,0.033463014,0,0,0.421917808,10.43945205,14.85041096,16.89747945
62,"Tampa, FL",Southeast,57.49,69,46,63,27.96,-82.44,10.00,84.46712329,66.94136986,12.16227143,8.957532451,6.911643836,0.121136986,0.121136986,0,0,0.580821918,10.25287671,19.13452055,18.61865753
63,"Sacramento, CA",West,57.47,55,21,138,38.58,-121.49,22.00,75.52520548,49.67315068,12.1973277,9.09990777,5.567671233,0.056531507,0.056531507,0,0,0.734246575,10.26054795,19.7909589,18.85468493
64,"Los Angeles, CA",West,57.33,49,86,116,34.06,-118.23,91.00,74.83041096,55.38,12.18047604,7.997383227,6.086575342,0.062117808,0.062117808,0,0,0.665753425,9.705479452,13.77315068,17.70010959
65,"Nashua, NH",Northeast,57.26,75,68,38,42.76,-71.47,54.00,61.49643836,43.46493151,12.21649382,7.038455434,4.425753425,0.156221918,0.156221918,0,0,1.682191781,10.59315068,21.88273973,14.71843836
